Type,Date,Category,Amount,Note
Expense,06-05-2023,Food,10467,Half lit  milk
Expense,05-05-2023,Household,394561,Supermart
Expense,05-05-2023,Food,5815,chocobar
Expense,05-05-2023,Food,47103,M D sure 3kg atta
Expense,05-05-2023,Household,282619,Smart point
Expense,05-05-2023,Other,2908,blanket sewing
Expense,04-05-2023,Food,37799,Catering Service
Expense,03-05-2023,Food,10467,Half lit  milk
Expense,02-05-2023,Food,4361,chocobar
Expense,01-05-2023,Food,54954,Domino's Pizza
Expense,01-05-2023,Food,10467,6 eggs
Expense,30-04-2023,Food,10467,Half lit Varna milk
Expense,30-04-2023,Food,13084,Khari packet
Income,30-04-2023,Salary,18770303,From workplace 
Expense,30-04-2023,Food,5234,potato 1kg
Expense,30-04-2023,Food,8723,onion 1 kg
Expense,29-04-2023,Household,11049,Idli pith 1kg
Expense,29-04-2023,Food,8723,5 chapati
Expense,28-04-2023,Food,21225,1 lit 
Expense,28-04-2023,Household,40706,Mirror repair
Expense,28-04-2023,Transportation,128807,First servicing
Expense,28-04-2023,Food,4943,chaas
Expense,26-04-2023,Food,11630,Flatbread 12 pcs
Expense,25-04-2023,Food,5815,1 packet
Expense,25-04-2023,Food,20935,1 lit 
Expense,25-04-2023,Health,37217,Refresh Tears Drop
Expense,24-04-2023,Subscription,45649,Permanent Residence - Tata Play recharge
Expense,24-04-2023,Food,5815,Limca
Expense,24-04-2023,Food,5815,onion 1 kg
Expense,24-04-2023,Food,55826,Catering Service
Expense,22-04-2023,Household,755976,Kitchen fan + installation+ repair
Expense,21-04-2023,Food,20935,1 lit 
Expense,21-04-2023,Food,6978,2 kachori
Expense,19-04-2023,Food,518425,BBQ
Expense,19-04-2023,Transportation,5815,Mall parking
Expense,19-04-2023,Food,8723,5 chapati
Expense,18-04-2023,Food,20935,1 lit 
Expense,18-04-2023,Food,13084,banana chips
Expense,18-04-2023,Food,13084,Khari packet
Expense,17-04-2023,Household,34019,Supermart
Expense,17-04-2023,Food,10177,chocobar
Expense,17-04-2023,Food,8723,Half kg tomato + methi 1 judi
Expense,16-04-2023,Food,17446,1 chicken shawarma
Expense,15-04-2023,Food,7269,potato 1kg
Expense,15-04-2023,Food,10177,Bread
Expense,15-04-2023,Food,20935,Amul cheese
Expense,15-04-2023,Food,20935,1 lit 
Expense,14-04-2023,Food,10467,6 eggs
Expense,14-04-2023,Food,8723,3 packets
Expense,14-04-2023,Food,47103,M D sure 3kg atta
Expense,13-04-2023,Transportation,8723,2 Place 0 to Current Residence
Expense,13-04-2023,Food,68329,pav Bhaji
Expense,13-04-2023,Food,4361,Vadapav
Expense,13-04-2023,Transportation,11630,Place 0 to Place 3 returns
Expense,13-04-2023,Transportation,4361,Current Residence to Place 0
Expense,12-04-2023,Food,20062,1 lit 
Expense,10-04-2023,Food,7269,onion 1 kg
Expense,10-04-2023,Food,20062,1 lit 
Expense,10-04-2023,Food,10177,Shev Puri
Expense,07-04-2023,Food,63967,Raw chicken half kg
Expense,07-04-2023,Food,13084,Khari packet
Expense,07-04-2023,Food,20062,1 packet
Expense,06-04-2023,Food,131424,Domino's Pizza
Expense,06-04-2023,Food,14538,Catering Service
Expense,06-04-2023,Food,10177,Half lit  milk
Expense,05-04-2023,Food,2908,chocobar
Expense,05-04-2023,Transportation,274768,Place 2 to Place 1 - Shree Sharma Travels
Expense,04-04-2023,Food,23842,Catering Service
Expense,03-04-2023,Food,8723,8 bananas
Expense,03-04-2023,Food,4361,Half kg tomato
Expense,02-04-2023,Food,93043,At restaurant
Expense,02-04-2023,Transportation,14538,Parking sticker
Income,02-04-2023,Salary,18793563,From workplace 
Expense,02-04-2023,Food,20062,1 lit 
Expense,01-04-2023,Household,2908,Matchbox packet 10pcs
Expense,01-04-2023,Food,5815,Dahi 2 packets
Expense,31-03-2023,Food,13084,Khari packet
Expense,31-03-2023,Food,12212,6 eggs
Expense,31-03-2023,Food,20062,1 lit 
Expense,30-03-2023,Food,6978,2 kachori
Expense,30-03-2023,Household,284043,Smart point
Expense,30-03-2023,Household,222141,Supermart
Expense,29-03-2023,Transportation,12502680,Two Wheeler Bikedelux third installment
